LOCATION,fecha_fallecimiento,value,fecha_csv
ALL/SIN ESPECIFICAR,2020-04-25,3,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-26,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-27,3,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-28,4,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-29,3,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-30,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-01,5,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-02,2,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-03,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-04,3,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-05,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-06,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-07,2,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-08,2,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-09,4,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-10,3,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-11,4,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-12,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-13,4,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-15,3,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-16,2,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-17,4,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-18,3,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-20,4,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-21,2,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-22,2,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-24,4,2020-06-16
ALL/SIN ESPECIFICAR,2020-05-25,1,2020-06-16
